Name,Institute,Country,Year
"Saarimaki, Oskari Antti Matti","Helsinki Institute of Physics (FI)","","2019"
"Nishimura, Kentaro","Keio University","","2019"
"Collaboration, sPHENIX","","","2019"
"Mehta, Shaifali","University of Tübingen","","2019"
"Dementiev, Dmitry","JINR Dubna","","2019"
"Gogun, Yuki","Sophia University","","2019"
"Sun, Zhandong","University of Debrecen","","2019"
"Nasim, Mohammad","IISER Berhampur","","2019"
"Srivastava, P. K.","Indian Institute of Technology Roapar","","2019"
"Takamura, Masahiro","University of Tsukuba","","2019"
"Maragoto Rodriguez, Osnan","GSI Helmholtz Center for Heavy Ion Research","","2019"
"Yamaguchi, Yorito","Hiroshima University (JP)","","2019"
"Schweid, Benjamin","Stony Brook University","","2019"
"Lesch, Marcel Markus","Technische Universitaet Muenchen (DE)","","2019"
"Torales Acosta, Fernando","Lawrence Berkeley National Lab. (US)","","2019"
"Zhou, WenHao","Shanghai Institute of Applied Physics, CAS","","2019"
"Kincses, Dániel","Eötvös Loránd University Budapest","","2019"
"Pawłowska, Diana","Warsaw University of Technology","","2019"
"Senger, Peter","GSI","","2019"
"Wang, Gang","UCLA","","2019"
"Bai, Xiaozhi","GSI","","2019"
"Andreou, Dimitra","CERN, Nikhef","","2019"
"Hayashi, Shinichi","University of Tokyo (JP)","","2019"
"Bok, Jeongsu","New Mexico State University","","2019"
"Zhu, Jianhui","Central China Normal University  CCNU (CN)","","2019"
"Tripathy, Sushanta","Indian Institute of Technology  Indore (IN)","","2019"
"Minato, Yoko","Nara Women's University (JP)","","2019"
"Yin, Yi","MIT","","2019"
"Bala, Renu","University of Jammu (IN)","","2019"
"Lapidus, Kirill","CERN","","2019"
"Zhang, Ziyue","","","2019"
"Ye, Zhenyu","University of Illinois at Chicago","","2019"
"Faggin, Mattia","Universita e INFN, Padova (IT)","","2019"
"Zhao, Mingrui","China Institute of Atomic Energy (CN)","","2019"
"HE, Shu","Central China Normal University","","2019"
"Wondrak, Michael Florian","Frankfurt Institute for Advanced Studies (FIAS)","","2019"
"Havener, Laura Brittany","Yale University (US)","","2019"
"Sako, Hiroyuki","","","2019"
"Rode, Sudhir Pandurang","Indian Institute of Technology  Indore (IN)","","2019"
"Raniwala, Rashmi","University of Rajasthan, Jaipur, India","","2019"
"Otto, Jan-Hendrik","JLU Giessen","","2019"
"Viebach, Leonhardt Heinrich","Johann-Wolfgang-Goethe Univ. (DE)","","2019"
"Vaněk, Jan","Nuclear Physics Institute, Czech Academy of Sciences","","2019"
"Pfistner, Patrick","KIT","","2019"
"Varga, Zoltan","Hungarian Academy of Sciences (HU), ALICE","","2019"
"Ujvari, Balazs","University of Debrecen","","2019"
"Cebra, Daniel","University of California, Davis","","2019"
"Kucera, Vit","Inha University (KR)","","2019"
"Sun, Xu","Georgia State University","","2019"
"Liu, Lihan","Vanderbilt University (US)","","2019"
"Fan, Shaoqiu","Central China Normal University","","2019"
"chattopadhyay, subhasis","Variable Energy Cyclotron Centre","","2019"
"Choudhury, Subikash","Department of Atomic Energy (IN)","","2019"
"Kosarzewski, Leszek","Czech Technical University in Prague","","2019"
"Hachiya, Takashi","Nara Women's University and RIKEN","","2019"
"Suzuki, Ayaka","Nara Women's University","","2019"
"Fu, Chuan","Central China Normal University","","2019"
"Lymanets, Anton","GSI, Darmstadt","","2019"
"Zhou, Yingjie","Central China Normal University  CCNU (CN)","","2019"
"Sharma, Anjali","Panjab University (IN)","","2019"
"Leung, Yue-Hang","Lawrence Berkeley National Laboratory","","2019"
"Rath, Rutuparna","Indian Institute of Technology  Indore (IN)","","2019"
"Tadokoro, Kenichi","University of Tsukuba","","2019"
"Xu, Ran","Central China Normal University  CCNU (CN)","","2019"
"Aoi, Hayato","Department of Physics, Faculty of Science, Tokyo University of Science","","2019"
"Shou, Qiye","Fudan University","","2019"
"Cai, Mengke","Central China Normal University  CCNU (CN)","","2019"
"Ahammed, Zubayer","Department of Atomic Energy (IN)","","2019"
"Collaboration, ATLAS","","","2019"
"Husova, Lucia Anna","University of Münster (DE)","","2019"
"Micheletti, Luca","Universita e INFN Torino (IT)","","2019"
"Herman, Tomas","Czech Technical University (CZ)","","2019"
"Khabanova, Zhanna","Nikhef","","2019"
"Mallick, Debasish","National Institute of Science Education and Research, India","","2019"
"Chatterjee, Arghya","CCNU/ VECC","","2019"
"Runchey for the PHENIX Collaboration, Jonathan","Iowa State University","","2019"
"Zhou, Kai","FIAS, Goethe-University Frankfurt am Main","","2019"
"Pisarski, Robert","Brookhaven National Lab.","","2019"
"Ji for the sPHENIX Collaboration, Yuanjing","University of Science and Technology of China","","2019"
"Skokov, Vladimir","Brookhaven national laboratory","","2019"
"Zabrodin, Evgeny","Universiyu of Oslo","","2019"
"Jeon, Sangyong","McGill University","","2019"
"Kim for the CMS Collaboration, Hyunchul","Chonnam National University (KR)","","2019"
