Name,Institute,Country,Year
"Cepila, Jan","Faculty of Nuclear Sciences and Physical Engineering (FNSPE)-Czech Technical University in Prague","","2011"
"Sinha, Bikash","Variable Energy Cyclotron Centre","","2011"
"Vogel, Sascha","Subatech","","2011"
"Kral, Jiri","University of Jyvaskyla","","2011"
"Sano, Takashi","University of Tokyo","","2011"
"Yamaguchi, Yorito","University of Tokyo","","2011"
"Terrevoli, Cristina","Universita degli Studi di Bari-Universita & INFN, Bari for ALICE ITS Collaboration","","2011"
"Prakash, Arun","BHU,Varanasi,India","","2011"
"Alessandro, Grelli","Utrecht University","","2011"
"Baumann, Christoph","IKF, Goethe-Universität Frankfurt","","2011"
"Markova, Margaret","Institute for System Dynamics and Control Theory","","2011"
"Feng, Bo","University od Texas at El Paso","","2011"
"Hou, Defu","Central China Normal University","","2011"
"Betz, Barbara","Columbia University","","2011"
"Zhu, Yan","University of Bielefeld","","2011"
"Hai-cang, Ren","Rockefeller University","","2011"
"Zhang, Zi-Qiang","Central China Normal University","","2011"
"Torii, Hisayuki","University of Tokyo","","2011"
"Bhattacharya, Lusaka","Saha Institute of Nuclear Physics","","2011"
"Marty, Rudy","Subatech","","2011"
"das, santosh K","Variable Energy Cyclotron Centre","","2011"
"Atomssa, Ermias T.","Stony Brook University","","2011"
"Zhang, Bin","Arkansas State University","","2011"
"Lin, Shu","MPI for Physics, Munich","","2011"
"Gelfand, Daniil","TU Darmstadt","","2011"
"Hamar, Gergo","MTA KFKI RMKI Research Institue for Particle and Nuclear Physics","","2011"
"Ryblewski, Radoslaw","Institute of Nuclear Physics PAN","","2011"
"Malinina, Ludmila","Joint Inst. for Nuclear Research (JINR)-Unknown-Unknown","","2011"
"Sicking, Eva","Universität Münster / CERN","","2011"
"Konchakovski, Volodymyr","Institute for Theoretical Physics, Giessen University","","2011"
"Schulc, Martin","Faculty of Nuclear Sciences and Physical Engineering (FNSPE)-Cze","","2011"
"Chvala, Ondrej","UCR Riverside","","2011"
"Nakano, Takashi","Kyoto University","","2011"
"Minami, Yuki","Japan","","2011"
"Gagliardi, Martino","Sezione INFN di Torino,  Torino, Italy","","2011"
"Barile, Francesco","Universita degli Studi di Bari-Universita e INFN","","2011"
"Bianchin, Chiara","Universita degli Studi di Padova-Universita & INFN,  Padova-Unkn","","2011"
"Altini, Valerio","CERN","","2011"
"Fasel, Markus","Gesellschaft fuer Schwerionen forschung mbH (GSI)","","2011"
"Tanji, Naoto","High Energy Accelerator Research Organization, KEK","","2011"
"Tomasik, Boris","Czech Technical University in Prague - Prague - Czech Republic","","2011"
"Reicher, Martijn","Universiteit Utrecht","","2011"
"Muhuri, Sanjib","Variable Energy Cyclotron Centre;  Department of Atomic Energy;  Government of India;  1/AF, Salt-Lake, Bidhan-nagar;  Kolkata--64.","","2011"
"Tsuji, Tomoya","Center for Nuclear Study University of Tokyo","","2011"
"Book, Julian","Institut fuer Kernphysik - Frankfurt","","2011"
"Kapitan, Jan","Nuclear Physics Institute ASCR","","2011"
"Zhuang, Pengfei","Tsinghua University","","2011"
"Liu, Yunpeng","Tsinghua University","","2011"
"Jiang, Yin","Tsinghua University","","2011"
"Sasaki, Chihiro","Frankfurt Institute for Advanced Studies","","2011"
"Neufeld, Richard","LANL","","2011"
"Martinez Guerrero, Mauricio","FIAS","","2011"
"Kramer, Frederick","IKF, Goethe-Universität Frankfurt","","2011"
"Pachmayer, Yvonne","Ruprecht-Karls-Universitaet Heidelberg-Unknown-Unknown","","2011"
"Nystrand, Joakim","Department of Physics and Technology","","2011"
"Barnafoldi, Gergely","KFKI Research Institute for Particle and Nuclear Physics of the HAS","","2011"
"Shen, Chun","The Ohio State University","","2011"
"El, Andrej","University of Frankfurt","","2011"
"Wyskiel-Piekarska, Iwona","Institute of Nuclear Physics PAN","","2011"
"Gardim, Fernando","USP","","2011"
"Ohnishi, Akira","Kyoto University","","2011"
"TOPOR POP, VASILE","McGill University, Montreal, Canada","","2011"
"Agocs, Andras Gabor","KFKI Research Institute for Particle and Nuclear Physics","","2011"
"Ortiz Velasquez, Antonio","Universidad Nac. Autonoma de Mexico (UNAM)","","2011"
"Lenhardt, Matthieu","Laboratoire de physique subatomique et des technologies associee","","2011"
"Sharma, Natasha","Department of Physics, Panjab University, Chandigarh, India","","2011"
"McGlinchey, Darren","Florida State University","","2011"
"Christiansen, Peter","Lund University","","2011"
"Seger, Janet","Creighton University","","2011"
"Christensen, Christian Holm","Niels Bohr Institute","","2011"
