Name,Institute,Country,Year
"Borrell Martinez, Marc","","","2018"
"Tu, Biao","Central China Normal University and Brookhaven National Laboratory","","2018"
"Lee, Yen-Jie","Massachusetts Inst. of Technology (US)","","2018"
"Bourjau, Christian","University of Copenhagen (DK)","","2018"
"Argintaru, Danut","Constanta Maritime University, Romania","","2018"
"Liang, Yue","Kent State Univesrsity & Lawrence Berkeley National Laboratory ","","2018"
"McGlinchey, Darren","Los Alamos National Laboratory","","2018"
"Barbosa, Leonardo","Instituto de Física da Universidade de São Paulo","","2018"
"Thoresen, Freja","The Niels Bohr Institute","","2018"
"Tropp, Lukas","Pavol Jozef Safarik University","","2018"
"Calivà, Alberto","GSI","","2018"
"Kalinak, Peter","Slovak Academy of Sciences (SK)","","2018"
"Greene, Victoria","Vanderbilt University (US)","","2018"
"Milov, Alexander","Weizmann Institute of Science (IL)","","2018"
"Cole, Brian","Columbia University (US)","","2018"
"Nayak, Ranjit","IIT Bombay","","2018"
"Pisano, Silvia","INFN e Laboratori Nazionali di  Frascati (IT)","","2018"
"Sergeeva, Maria","UCLA","","2018"
"Erhardt, Filip","University of Zagreb (HR)","","2018"
"Schweid, Benjamin","Stony Brook University","","2018"
"Baban, Valerica","Constanta Maritime University, Romania","","2018"
"Jia, Jiangyong","Stony brook Universty (US)","","2018"
"Sugiura, Tetsuro","University of Tsukuba, Japan","","2018"
"Dash, Sadhana","IIT- Indian Institute of Technology (IN)","","2018"
"Kulathunga, Nalinda","University of Houston","","2018"
"Kurgyis, Bálint","","","2018"
"Zhu, Ya","Central China Normal University","","2018"
"De Souza Lemos, Dener","UNESP - Universidade Estadual  Paulista (BR)","","2018"
"Capon, Aaron","Stefan Meyer Institute for Subatomic Physics (SMI), Austrian Academy of Sciences (AT)","","2018"
"Jacak, Barbara","Lawrence Berkeley National Lab. (US)","","2018"
"Lehner, Sebastian","Austrian Academy of Sciences (AT)","","2018"
"Huang, Jin","Brookhaven National Lab","","2018"
"Fan, Wenqing","Stony Brook University","","2018"
"Khachatryan, Vladimir","Stony Brook University","","2018"
"Dong, Xin","Lawrence Berkeley National Lab","","2018"
"Kim, Hyunchul","Chonnam National University (KR)","","2018"
"Connors, Megan Elizabeth","GSU","","2018"
"Kumar, Ajit","VECC, Kolkata","","2018"
"Dubey, Anand Kumar","","","2018"
"Sitzmann, Philipp","","","2018"
"Merzlaya, Anastasia","St Petersburg State University (RU), Jagiellonian University (PL)","","2018"
"Kim, Yongsun","Univ. Illinois at Urbana Champaign (US)","","2018"
"Rodriguez, Adrian","Goethe University Frankfurt am Main","","2018"
"Deppner, Ingo-Martin","Physikalisches Institut der Universität Heidelberg","","2018"
"Osborn, Joseph","University of Michigan","","2018"
"Szala, Melanie","Goethe University Frankfurt","","2018"
"Spies, Simon","Johann-Wolfgang-Goethe Univ. (DE)","","2018"
"Ramnath, Andrecia","University of Jyvaskyla","","2018"
"Lim, Sang Hoon","","","2018"
"Habib, Michael Karim","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2018"
"Matsuda, Hidefumi","kyoto university","","2018"
"Oh, Saehanseul","Yale University and Brookhaven National Laboratory","","2018"
"Murakami, Hikari","University of Tokyo (JP)","","2018"
"Perez Lezama, Edgar","Johann-Wolfgang-Goethe Univ. (DE)","","2018"
"Danley, Tyler","PHENIX Collaboration","","2018"
"Epple, Eliane","Yale University","","2018"
"Matyja, Adam Tomasz","University of Tennessee (US)","","2018"
"Li, Xin","University of Science and  Technology of China (CN)","","2018"
"Volkl, Martin Andreas","Eberhards  Karls Universiy Tubingen (DE)","","2018"
"Grosa, Fabrizio","Politecnico di Torino (IT)","","2018"
"Luparello, Grazia","Universita e INFN Trieste (IT)","","2018"
"Xie, Wei","Purdue University (US)","","2018"
"Aiola, Salvatore","Yale University (US)","","2018"
"Sadhu, Samrangy","Department of Atomic Energy (IN)","","2018"
"Hachiya, Takashi","RIKEN","","2018"
"Hu, Qipeng","University of Colorado Boulder","","2018"
"Costanza, Susanna","Universita e INFN, Pavia (IT)","","2018"
"Valle, Nicolo'","Universita and INFN (IT)","","2018"
"Vaněk, Jan","Nuclear Physics Institute, Czech Academy of Sciences","","2018"
"Da Silva, Cesar Luiz","Los Alamos National Laboratory (US)","","2018"
"Rosati, Marzia","Iowa State University (US)","","2018"
"Wilkinson, Jeremy","Universita e INFN, Bologna (IT)","","2018"
"Mazzilli, Marianna","Universita e INFN, Bari (IT)","","2018"
"Doi, Takahiro","RIKEN","","2018"
"Hills, Christopher","University of Liverpool (GB)","","2018"
"Dhankher, Preeti","IIT- Indian Institute of Technology (IN)","","2018"
"Terrevoli, Cristina","Universita e INFN, Padova (IT)","","2018"
"Lombardo, Maria Paola","INFN","","2018"
