Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Flash Talks/Poster Awards,poster,Anisotropy of the QGP droplet explored through high-𝑝⊥ data,"Stojku, Stefan",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Stefan', 'last_name': 'Stojku', 'fullName': 'Stojku, Stefan', 'id': '6716536', 'affiliation': '', 'emailHash': '290bd79e78ad9524c3e9239bb925717f', 'db_id': 6716536, 'person_id': 6336345}"
Flash Talks/Poster Awards,poster,Space-time evolution of critical fluctuations in an expanding system,"Sakai, Azumi",Sophia University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Azumi', 'last_name': 'Sakai', 'fullName': 'Sakai, Azumi', 'id': '6716535', 'affiliation': '', 'emailHash': '0495f16209f9f594cf20d3f55ed43618', 'db_id': 6716535, 'person_id': 6336246}"
Flash Talks/Poster Awards,poster,Multi-dimensional measurements of the parton shower in pp collisions at RHIC,"Robotková, Monika ","Nuclear Physics Institute, Czech Academy of Sciences",UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Monika ', 'last_name': 'Robotková', 'fullName': 'Robotková, Monika ', 'id': '6716534', 'affiliation': 'Nuclear Physics Institute, Czech Academy of Sciences', 'emailHash': '4d47ca0ba03d46bb3bdac3f1a41ca0b1', 'db_id': 6716534, 'person_id': 6336088}"
Flash Talks/Poster Awards,poster,Using active learning to constrain the size and location of the QCD critical point,"Mroczek, Débora",University of Illinois at Urbana-Champaign,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Débora', 'last_name': 'Mroczek', 'fullName': 'Mroczek, Débora', 'id': '6716533', 'affiliation': 'University of Illinois at Urbana-Champaign', 'emailHash': 'daac40618a0e71f441dfb944016c60c4', 'db_id': 6716533, 'person_id': 6339621}"
Flash Talks/Poster Awards,poster,Search for higher mass resonances via KK decay channel in pp collisions with ALICE at the LHC,"Mallick, Dukhishyam",National Institute of Science  Education and Research (NISER) (IN),India,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dukhishyam', 'last_name': 'Mallick', 'fullName': 'Mallick, Dukhishyam', 'id': '6716532', 'affiliation': 'National Institute of Science  Education and Research (NISER) (IN)', 'emailHash': '7f415e9dbbe7c4b124722c8d79ab16d3', 'db_id': 6716532, 'person_id': 6329955}"
Flash Talks/Poster Awards,poster,Identified hadron spectra and baryon stopping in 𝛾+Au collisions at STAR,"Lewis, Nicole",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Nicole', 'last_name': 'Lewis', 'fullName': 'Lewis, Nicole', 'id': '6716530', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': 'c06e2717101fd97ef0699e53cf732064', 'db_id': 6716530, 'person_id': 6514894}"
Flash Talks/Poster Awards,poster,Bayesian quantification of the Quark-Gluon Plasma from a hybrid model with an IP-Glasma initial state,"Heffernan, Matthew",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Matthew', 'last_name': 'Heffernan', 'fullName': 'Heffernan, Matthew', 'id': '6716529', 'affiliation': 'McGill University', 'emailHash': '75fa9a8d6b77f7b47a5252abeda18ff3', 'db_id': 6716529, 'person_id': 6339582}"
Flash Talks/Poster Awards,poster,Measurement of low-momentum direct photons in Au+Au collisions at 200 GeV,"Fan, Wenqing",Lawrence Berkeley National Lab. (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wenqing', 'last_name': 'Fan', 'fullName': 'Fan, Wenqing', 'id': '6716528', 'affiliation': 'Lawrence Berkeley National Lab. (US)', 'emailHash': '40291106cd941c64d994e1ef627babf8', 'db_id': 6716528, 'person_id': 6335990}"
Flash Talks/Poster Awards,poster,Introduction,"Lesiak, Tadeusz",Polish Academy of Sciences (PL),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tadeusz', 'last_name': 'Lesiak', 'fullName': 'Lesiak, Tadeusz', 'id': '6716527', 'affiliation': 'Polish Academy of Sciences (PL)', 'emailHash': '84dade747f718dceaf2479b477a8c0dc', 'db_id': 6716527, 'person_id': 6592039}"
Flash Talks/Poster Awards,poster,"Heavy quarks in the evolving Glasma: diffusion, 2-particle correlations and comparison with Langevin dynamics","Avramescu, Dana",University of Jyväskylä,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dana', 'last_name': 'Avramescu', 'fullName': 'Avramescu, Dana', 'id': '6716526', 'affiliation': '', 'emailHash': '757a22651020e1ff5aa2da4dee64a92e', 'db_id': 6716526, 'person_id': 6339136}"
Flash Talks/Poster Awards,poster,Constraining Neutron-Star Matter with Microscopic and Macroscopic Collisions,"Agarwal, Kshitij",Eberhard Karls Universität Tübingen (DE),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kshitij', 'last_name': 'Agarwal', 'fullName': 'Agarwal, Kshitij', 'id': '6716525', 'affiliation': 'Eberhard Karls Universität Tübingen (DE)', 'emailHash': '6746638caa3df96e2a6f350429922030', 'db_id': 6716525, 'person_id': 6337165}"
