Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Poster Session,poster,Dijet invariant mass in pp and p--Pb collisions with ALICE,"Saarimaki, Oskari Antti Matti",Helsinki Institute of Physics (FI),FI,"Oskari Saarimäki for the ALICE collaboration

We present the dijet invariant mass distribution in pp and p--Pb collisions at $\sqrt{s_\mathrm{NN}} = 5.02$ TeV measured by ALICE. We study the dependence of the dijet invariant mass on event multiplicity in both collision systems, to explore cold nuclear matter effects or possible medium modifications in small collision systems. We measure charged jets using central tracking detectors in ALICE and correct the results for detector effects using unfolding procedure. Previous two-particle correlation studies from RHIC and the dijet asymmetry studies from LHC indicate that the dijet invariant mass can be sensitive to modifications caused by the QGP medium.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Oskari Antti Matti', 'last_name': 'Saarimaki', 'fullName': 'Saarimaki, Oskari Antti Matti', 'id': '4554431', 'affiliation': 'Helsinki Institute of Physics (FI)', 'emailHash': '27bee4fcbf8218ed1ff7de494e99faff', 'db_id': 4554431, 'person_id': 4585944}"
Poster Session,poster,Chiral soliton lattice in dense matter under rotation,"Nishimura, Kentaro",Keio University,Unknown,"We study the anomaly-induced effects of dense matter under rotation. We show that the chiral perturbation theory under rotation has the topological term that accounts for the chiral vortical effect. We find that, due to the presence of this new term, the ground state of QCD under rotation is the chiral soliton lattice (CSL) of the neutral pion or $\eta^{\prime}$ meson. This state is a periodic array of topological solitons which spontaneously breaks parity and continuous translational symmetries. In particular, at high density, the CSL of the $\eta^{\prime}$ meson is energetically more favorable than the color-flavor locked color superconducting phase and its critical angular velocity is proportional to the QCD anomaly in the flavor symmetric case.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kentaro', 'last_name': 'Nishimura', 'fullName': 'Nishimura, Kentaro', 'id': '4554350', 'affiliation': 'Keio University', 'emailHash': 'c994e89be6c3c4fa438b5b63236e9c77', 'db_id': 4554350, 'person_id': 4587998}"
Poster Session,poster,Readout electronics for the sPHENIX Time Projection Chamber,sPHENIX Collaboration,Unknown,Unknown,"One of the major physics goals of the sPHENIX experiment at RHIC
is to major the Upsilon states with 100MeV mass resolution. In order to
achieve this resolution, a Time Projection Chamber (TPC) was proposed
for momentum measurements of electrons and hadrons. The TPC does
not have a gating grid similarly to the ALICE TPC case and therefore
capable for handing the collision rate of up to a few hundreds KHz.
In turn, the charge has to be readout continuously. The readout
electronics was newly designed to meet this requirement. The signal is
readout by 624 Frontend cards that have 8 SAMPA v5 chips, the new
version of the one employed for ALICE TPC, and sent to a backend
electronics, FELIX PCI card, designed for ATLAS experiment. The data
rate from the whole TPC may reach as much as 1.4Tbps. We will show
the readout scheme for the TPC and the performance from the prototype
boards as well as the data reduction scheme.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': '', 'last_name': 'sPHENIX Collaboration', 'fullName': 'sPHENIX Collaboration', 'id': '4554122', 'affiliation': '', 'emailHash': None, 'db_id': 4554122, 'person_id': 4586105}"
Poster Session,poster,Module and ladder assembly techniques for the Silicon Tracking System of the CBM experiment at FAIR,"Mehta, Shaifali",University of Tübingen,Unknown,"The Compressed Baryonic Matter (CBM) experiment is one of the scientific pillars of the Facility
for Anti-proton and Ion Research (FAIR), which is presently under construction adjacent to GSI,
Darmstadt. The Silicon Tracking System (STS) is the core detector of the CBM experiment, located
inside the superconducting dipole magnet. The main task of STS is to reconstruct the tracks and
measure the momentum of charged particles. The STS detector comprises of 896 low-mass detector
modules, based on double-sided silicon microstrip sensors, distributed on 8 tracking stations. The
stations are made from mechanical half units onto which 106 carbon fibre support structures, or
ladders, are mounted which hold the modules.
We discuss the steps of module assembly, combining a silicon sensor, ultra-thin micro cables and
self-triggering front-end electronics into the basic functional unit of the STS. A concept tool has
been designed to study the feasibility of the ladder assembly with mechanical precision of better
than 100 μm. The size of the tool has been chosen to mount five modules onto ladders, fitting the
mSTS demonstrator of the mCBM test experiment at SIS18.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shaifali', 'last_name': 'Mehta', 'fullName': 'Mehta, Shaifali', 'id': '4554104', 'affiliation': 'University of Tübingen', 'emailHash': '364e3031a6a531ef31abf993662bb94c', 'db_id': 4554104, 'person_id': 4585464}"
Poster Session,poster,The new hybrid tracking system of the Baryonic Matter at the Nuclotron (BM@N) experiment at JINR,"Dementiev, Dmitry",JINR Dubna,Russia,"In order to study the high-density nuclear equation-of-state in collisions between gold nuclei at Nuclotron beam energies (2– 4.5A GeV), the existing BM@N experiment at JINR in Dubna has to be substantially upgraded. The measurement of high-multiplicity events at reaction rates up to 50 kHz requires the installation of four new tracking stations equipped with double-sided micro-strip silicon sensors, which have been developed for the CBM experiment at FAIR. It has been demonstrated by simulations using the UrQMD event generator together with the GEANT transport code, that the hybrid tracking system comprizing four silicon stations and seven (already partly existing) GEM tracking detectors will be able to reconstruct charged particles including hyperons emitted in Au+Au collisions with good efficiency and  high signal-to-background ratio. The results of the simulations and the status of the detector development will be presented.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dmitry', 'last_name': 'Dementiev', 'fullName': 'Dementiev, Dmitry', 'id': '4554111', 'affiliation': 'JINR Dubna', 'emailHash': '2383555201a49c865a56521cc732f7cc', 'db_id': 4554111, 'person_id': 4564849}"
Poster Session,poster,Ion Backflow Studies for the sPHENIX TPC,sPHENIX Collaboration,Unknown,Unknown,"A Time Projection Chamber is the main tracking system for the proposed sPHENIX experiment at RHIC. It will measure space points of charged tracks, which provide the needed momentum resolution to separate the Upsilon states in decays to electrons and positrons. 
The strong magnetic field of the solenoid previously used in the BaBAR experiment, a Neon-based fast gas mixture, and an electric field providing a high drift velocity will mostly compensate for E-field distortions due to ion backflow in the current sPHENIX TPC design. A quadruple GEM stack with special hole patterns or a MicroMegas based amplification is expected to further reduce the ion backflow.
A series of simulations and measurements have been performed to find an optimal configuration and working point for the sPHENIX TPC. In this presentation, we discuss the outcome of this study.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': '', 'last_name': 'sPHENIX Collaboration', 'fullName': 'sPHENIX Collaboration', 'id': '4554115', 'affiliation': '', 'emailHash': None, 'db_id': 4554115, 'person_id': 4586103}"
Poster Session,poster,Factorization breaking in transverse momentum from hydrodynamic fluctuations,"Gogun, Yuki",Sophia University,Unknown,"In recent years, factorization breaking of flow coefficients in transverse momentum has been measured by CMS Collaboration [1] to understand the transport properties of QGP. The factorization ratio $r_n$ measured in Pb + Pb collisions at LHC represents the decorrelation of the event plane angle in different transverse momentum regions. When $r_n = 1$, which implies the coincidence of the event-plane angles along transverse momentum direction, $r_n$ can be factorized into the anisotropic flow coefficients $v_n$ in the individual transverse momentum regions. However, $r_n < 1$ means the event-plane angles differ from each other and consequently this factorization is broken. Hydrodynamic fluctuations are expected to break the factorization because they disturb the event plane. 

In this study, we analyze the factorization ratio $r_n$ in the direction of transverse momentum by using an integrated dynamical model [2] that incorporates thermal fluctuations into the relativistic hydrodynamic model. The QGP produced in high-energy heavy-ion collisions expands rapidly, cools down and becomes a hadron gas in a short time period. Thus, the QGP cannot be measured directly. Therefore, the transport properties of QGP are explored through analysis of the hadron momentum distribution measured by the detector. Since the final state hadron observables carry the information on the whole history of the space-time evolution of the system, it is important to construct an integrated dynamical model that describes the whole reaction. Using this integrated dynamic model incorporating hydrodynamic fluctuations, we compare the analysis results of the factorization ratio in the transverse momentum direction with the experimental results and discuss the influence of the hydrodynamic fluctuations on the factorization ratio in the transverse momentum direction.


[1] CMS Collaboration, Phys. Rev. C 92, 034911 (2015)
[2] K. Murase, Ph. D thesis, The University of Tokyo (2015)","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yuki', 'last_name': 'Gogun', 'fullName': 'Gogun, Yuki', 'id': '4554118', 'affiliation': 'Sophia University', 'emailHash': '7c1aab1a053d8c1909568693e97dc76c', 'db_id': 4554118, 'person_id': 4583206}"
Poster Session,poster,High transverse momentum direct photons in p+Au collisions in PHENIX at RHIC,"Sun, Zhandong",University of Debrecen,Unknown,"The primary source of high transverse momentum (>4-5GeV/c) direct photons is the initial hard scattering of partons, specifically the quark-gluon Compton scattering process.  This has been validated not only in hadron-hadron, but also in heavy ion collisions (see for instance PRL 109 (2012) 152302), where the observed yields were proportional, as expected,  to the number of binary nucleon-nucleon collisions as calculated from the Glauber model for various collision centralities.  This observation supports that the collision geometry is well defined by the centrality measure we have been using, at least in the case when the colliding ions are large. The definition, however, is not obvious in very asymmetric collisions,
like p+Au. We assume that high transverse momentum direct photons are a ""standard candle"" for initial hard scattering, and, per extension, for collision geometry not only for p+p and A+A, but also for small-on-large collisions.  If true, comparing the centrality dependence of direct photon and hadron production in p+Au is a robust test of the applicability of the Glauber model in such systems. In this poster we will report on the status of the analysis of high transverse momentum direct photons in p+Au collisions at various centralities as well as of the direct photon / hadron ratios and its comparison with hadron production.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhandong', 'last_name': 'Sun', 'fullName': 'Sun, Zhandong', 'id': '4554130', 'affiliation': 'University of Debrecen', 'emailHash': 'a4c6f73466a9cbbaf210e6a89fd1cced', 'db_id': 4554130, 'person_id': 4586143}"
Poster Session,poster,Azimuthal anisotropy measurement of strange hadrons in Au+Au collisions at $\sqrt{s_{NN}}$ = 27 and 54.4 GeV at STAR,"Nasim, Mohammad ",IISER Berhampur,Unknown,"The hadronic interaction cross section for (multi)strange hadrons are expected to be small. Hence, the study of azimuthal anisotropy of (multi)strange hadrons allows one to access the collective properties of early stages in heavy-ion collisions. The STAR experiment recently recorded high statistics data for Au+Au collisions at a new centre-of-mass energies ($\sqrt{s_{NN}}$) of 54.4 GeV ($\sim$1.3 billion events) and 27 GeV ($\sim$600 million events). The newly installed Event Plane Detector (EPD) allows one to  measure the  azimuthal anisotropy of particles with high precision and less non-flow contributions using event plane with large gaps in rapidity. 

In this poster, we will present the second-order azimuthal anisotropy ($v_{2}$) of  (multi)strange hadrons ($K^{0}_{S}$, $\phi$, $\Lambda$, $\Xi$, $\Omega$) measured at midrapidity ($|y|$ $< $0.5)  as a function of transverse momentum ($p_{T}$) and centrality at $\sqrt{s_{NN}}$=27 and 54.4 GeV.  Measurement will be carried out using event planes from both Time Projection Chamber ($|\eta|$$<$1.0) and EPD (2.1$<$$|\eta|$$<$5.1). High precision test of the number of constituent quark scaling of $v_{2}$ (including light hadrons) will be shown. The results will be compared to transport-based model calculations. Finally, the physics goals of such measurements at the other $\sqrt{s_{NN}}$ = 19.6, 11.5, 9.2 and 7.7 GeV of beam energy scan phase II will be discussed.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mohammad ', 'last_name': 'Nasim', 'fullName': 'Nasim, Mohammad ', 'id': '4672501', 'affiliation': 'IISER Berhampur', 'emailHash': '0751190aa25559bf6e861640bc0b0c57', 'db_id': 4672501, 'person_id': 4761715}"
Poster Session,poster,Effect of Magnetic field on Electrical Conductivity of QCD Plasma,"Srivastava, P. K. ",Indian Institute of Technology Roapar,Unknown,"Electrical properties of QCD plasma is an important tool to understand the behaviour of strongly interacting matter in different physical conditions. It will help us to understand the effect of electromagnetic interaction with strongly interacting QCD plasma. Recently, it has been shown that a strong magnetic field is created during heavy ion collisions. Thus it is interesting to study the effect of this magnetic field on the transport and thermodynamical properties of matter created in these heavy ion collisions. In this poster, we will show the variation of electrical conductivity of an isotropic quark gluon plasma with respect to temperature. Further we will demonstrate the effect of magnetic field on electrical conductivity and discuss its physical importance.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'P. K. ', 'last_name': 'Srivastava', 'fullName': 'Srivastava, P. K. ', 'id': '4554222', 'affiliation': 'Indian Institute of Technology Roapar', 'emailHash': '705c47f21494a22008a498bc0ad224c9', 'db_id': 4554222, 'person_id': 4586546}"
