Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Small Systems,parallel,Pinning down the origin of collectivity in small systems with ALICE (remote),"Zhao, Mingrui",China Institute of Atomic Energy (CN),China,"While the formation of the quark--gluon plasma (QGP) in heavy-ion collisions has been confirmed by characteristic patterns of flow measurements, it remains unclear what is the smallest possible collision system that can generate a similar medium exhibiting partonic collectivity. In this talk, we will present the new preliminary results of anisotropic flow in pp, p--Pb, and Pb--Pb collisions that, for the first time, encompass all the data collected by ALICE. The highlights include the flow of charged and identified particles ($\pi^{\pm}$, K$^{\pm}$, p ($\overline{\rm {p}}$), K$^0_S$, $\Lambda$ ($\overline \Lambda$), $\varphi$), correlations and fluctuations of flow vectors and correlations between the mean transverse momentum and flow coefficients, $\rho(v_n^2,[p_\mathrm{T}])$. Multiparticle cumulants with the subevent method, ultra-long-range azimuthal correlations with the template fit method, and a novel jet veto approach have been implemented to effectively suppress short-range non-flow contamination.  We compare our results to state-of-the-art theoretical models, which will allow us to study contributions from initial momentum anisotropies to final anisotropic flow, and to understand how anisotropic flow in small collision systems developed from the initial geometry through the dynamic evolution including the understanding of the role of mass and constituent-quark numbers.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mingrui', 'last_name': 'Zhao', 'fullName': 'Zhao, Mingrui', 'id': '7976916', 'affiliation': 'China Institute of Atomic Energy (CN)', 'emailHash': '474c000b999310db901e6c96af4864f0', 'db_id': 7976916, 'person_id': 7681659}"
Initial State,parallel,Pursuing the Precision Study for Color Glass Condensate in Forward Hadron Productions,"Shi, Yu",Shandong University,Unknown,"With the tremendous accomplishments of RHIC and the LHC experiments and the advent of the future electron-ion collider on the horizon, the quest for compelling evidence of the color glass condensate (CGC) has become one of the most aspiring goals in the high energy quantum chromodynamics research. Pursuing this question requires developing the precision test of the CGC formalism. By systematically implementing the threshold resummation, we significantly improve the stability of the next-to-leading-order calculation in CGC for forward rapidity hadron productions in pp and pA collisions, especially in the high pT region, and obtain reliable descriptions of all existing data measured at RHIC and the LHC across all pT regions. Consequently, this technique can pave the way for the precision studies of the CGC next-to-leading-order predictions by confronting them with a large amount of precise data.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yu', 'last_name': 'Shi', 'fullName': 'Shi, Yu', 'id': '7819031', 'affiliation': 'Shandong University', 'emailHash': '3e879828623ce53a7632aed8b8718ec2', 'db_id': 7819031, 'person_id': 7551724}"
Jets,parallel,Jet-flow coupling in heavy-ion collisions and the jet-induced diffusion wake,"Yang, Zhong",CCNU,Unknown,"Diffusion wake accompanying jet-induced Mach-cone is a unique feature of jet-medium interaction in high-energy heavy-ion collisions. We explore the 3D structure of the diffusion wake induced by triggered jets in Pb+Pb collisions at the LHC energy within the coupled linear Boltzmann transport and hydro model. We identify a valley structure caused by the diffusion wake on top of a ridge from the initial multiple parton interaction (MPI) in jet-hadron correlation as a function of rapidity and azimuthal angle. This leads to a double-peak structure in the rapidity distribution of soft hadrons in the opposite direction of the jets as an unambiguous signal of the diffusion wake. The interaction between the jet and QGP fluid will also deflect partons  associated with the jet from their initial direction. Such deflection depends on the energy of the jet constitutes and the velocity of the flow, leading to an angular intra-jet asymmetry of particle distribution inside the jet. We also study the intra-jet asymmetry and its dependence on jet path length and fluid viscosity in both transverse and longitudinal directions. Our methods can be further used to localize the initial production position of the jet without specified requirements of the jet direction.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhong', 'last_name': 'Yang', 'fullName': 'Yang, Zhong', 'id': '8015988', 'affiliation': 'CCNU', 'emailHash': '19367007456f1b280bacec249ba089a2', 'db_id': 8015988, 'person_id': 7541117}"
Heavy Flavor,parallel,Quarkonia as probes of initial and final states in small systems with ALICE (remote),"Choudhury, Subikash",Department of Atomic Energy (IN),Unknown,"Measurements in pp and p--Pb collisions, so-called small systems, besides serving as baseline for studying vacuum production and cold-nuclear matter effects, respectively, have recently shown intriguing features. In particular, measurements in high-multiplicity events have revealed striking similarities with heavy-ion collisions, where the formation of a quark-gluon plasma is expected. One of the possible scenarios proposed for describing these findings, which include among others collective effects, is the presence of multiple parton-parton interactions (MPIs). At LHC energies, MPIs affect both the soft component of the event, as well as the hard scales responsible for heavy-quark production. Quarkonium associated production, such as double J/$\psi$ production in the same event, provides a direct way to study MPIs. Conversely, quarkonium measurements which correlate soft and hard components of the event, such as multiplicity dependent production or azimuthal correlations between quarkonia and hadrons produced in the same event, represent an indirect method to investigate MPIs. In addition, these studies can reveal any other potential underlying mechanisms taking place in the final state, such as possible dissociation effects for loosely bound excited quarkonia. In case of charmonia, the corresponding measurements for the non-prompt component, originating from beauty hadron decays, allows for extending such correlations studies to the open beauty hadron sector.

In this talk, new published measurements of double J/$\psi$ production at forward rapidity, as well as new preliminary multiplicity dependent measurements of non-prompt J/$\psi$ fractions at midrapidity, in pp collisions at $\sqrt{s}$ = 13 TeV, will be shown. Recent multiplicity dependent measurements of $\psi$(2S) and $\Upsilon$($n$S) states ($n$ = 1,2,3), along with excited-to-ground state ratios,  carried out at forward rapidity in pp and p--Pb collisions at $\sqrt{s}$ = 13 TeV and $\sqrt{s_{\rm NN}}$ = 8.16 TeV, will be presented. Furthermore, recently published prompt and non-prompt J/$\psi$ production at midrapidity in p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 8.16, will be discussed. The status of ongoing analyses on J/$\psi$ production as a function of multiplicity or spherocity at central and forward rapidity, in pp and p--Pb collisions, will also be shown. Results will be compared to available model calculations.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Subikash', 'last_name': 'Choudhury', 'fullName': 'Choudhury, Subikash', 'id': '7974507', 'affiliation': 'Department of Atomic Energy (IN)', 'emailHash': 'b1023c994193c053c3a60e4089566e5a', 'db_id': 7974507, 'person_id': 7681795}"
Heavy Flavor,parallel,Modification of heavy quark hadronization in high multiplicity collisions at LHCb (remote),"Gu, Chenxi",Centre National de la Recherche Scientifique (FR),Unknown,"The differences in hadron chemistry observed at e+e- machines versus hadron
colliders may indicate that the mechanisms by which partons evolve into visi-
ble matter are not universal. In particular, the presence of many other quarks
produced in the underlying event may affect the hadronization process. With
full particle ID, precision vertexing, and a high rate DAQ, the LHCb detector
is uniquely well suited to study the hadronization of heavy quarks. This con-
tribution will present LHCb data on hadronization of heavy charm and bottom
quarks, including the first results on the b baryon-to-meson production ratio
versus charged particle multiplicity.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chenxi', 'last_name': 'Gu', 'fullName': 'Gu, Chenxi', 'id': '7974508', 'affiliation': 'Centre National de la Recherche Scientifique (FR)', 'emailHash': 'a94062bd7853cc52881d03c9ab8f61ad', 'db_id': 7974508, 'person_id': 7681485}"
Collective Dynamics,parallel,Elliptic and triangular flow of light (anti-)nuclei in Au+Au collisions in the BES-II energies using the STAR detector (remote),"Sharma, Rishabh ",Indian Institute of Science Education and Research (IISER) Tirupati,Unknown,"The formation of light nuclei in heavy-ion collisions can be explained by two models: the thermal model and the coalescence model. The thermal model proposes that light nuclei originate from a thermal source where they are in equilibrium with other particles in the fireball. However, due to their low binding energies, the formed nuclei are unlikely to survive the high-temperature conditions of the fireball. In contrast, the coalescence model suggests that light nuclei are formed later in time by the coalescence of protons and neutrons near the kinetic freeze-out surface. The final-stage coalescence of nucleons would lead to the mass number scaling, where the anisotropic flow of light nuclei scaled by their mass numbers follows closely the anisotropic flow of nucleons. Therefore, comparing the anisotropic flow of light nuclei with protons will help us experimentally test the coalescence model hypothesis. Moreover, compared to elliptic flow ($v_2$), triangular flow ($v_3$) of light nuclei has a better sensitivity to the fluctuating initial conditions as well as the properties of the created systems. This information will provide us with  tighter constraints on the theoretical models that describe the production mechanism of light nuclei.

In this talk, we will present the transverse momentum ($p_T$) and centrality dependence of $v_2$ and $v_3$ of $d$, $t$, and $^3$He, as well as their corresponding antinuclei, in Au+Au collisions at energies of $\sqrt{s_{NN}} = 7.7$ -- 54.4 GeV from the Beam Energy Scan phase II (BES-II) program at RHIC-STAR. We will discuss the mass number scaling study of $v_2$ and $v_3$ of light nuclei in the BES-II energies. Additionally, we will compare the experimental results with model calculations that use specific initial conditions and/or nucleon coalescence.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Rishabh ', 'last_name': 'Sharma', 'fullName': 'Sharma, Rishabh ', 'id': '7908960', 'affiliation': 'Indian Institute of Science Education and Research (IISER) Tirupati', 'emailHash': '704dca1928ae543bebe94bd6ffb9b641', 'db_id': 7908960, 'person_id': 7695846}"
Light Flavor,parallel,Exploring the hadron gas phase of relativistic heavy-ion collisions with ALICE (remote),"Agrawal, Neelima","Universita e INFN, Bologna (IT)",Unknown,"Hadronic resonances have typical lifetimes that are comparable to that of the hadron gas phase created in the late stages of high-energy nuclear collisions. Therefore, a significant fraction of resonances decays inside a high-density medium and their decay daughters may rescatter with other hadrons destroying their initial kinematic correlations. A competing effect is resonance regeneration via pseudo-elastic interactions of hadrons. The interplay between these effects, which may modify the measured yields and transverse-momentum spectra of hadronic resonances, can be studied by measuring the yield ratio of resonances to the corresponding long-lived particle as a function of the hadronic lifetime, i.e. charged-particle multiplicity. In addition, measurements of the differential yields of resonances with different masses, quark content, and quantum numbers help in understanding particle production mechanisms, strangeness production, and parton energy loss.

In this presentation, recent measurements of hadronic resonances in Pb--Pb and Xe--Xe collisions as a function of multiplicity will be presented. Collisions between Xe nuclei provide the ultimate test for validating the picture of the smooth evolution of hadronic rescattering across different collision systems by filling the gap between p--Pb and Pb--Pb multiplicities. Furthermore, the measured resonance yields in Xe--Xe and Pb--Pb collisions are used as an experimental input in a partial chemical equilibrium-based thermal model to constrain the kinetic freeze-out temperature. This is a novel procedure that is independent of assumptions on the flow velocity profile and the freeze-out hypersurface.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Neelima', 'last_name': 'Agrawal', 'fullName': 'Agrawal, Neelima', 'id': '7974647', 'affiliation': 'Universita e INFN, Bologna (IT)', 'emailHash': '261aba0db2f0844d37d637cc045e06fc', 'db_id': 7974647, 'person_id': 7681778}"
Light Flavor,parallel,Particle production and collective flow measurements with CMS Run 3 PbPb data (remote),"Wang, Jing",CERN,Switzerland,"The pseudorapidity distributions and anisotropic flow coefficients of charged particles produced in heavy ion collisions are key observables that characterize the initial conditions and subsequent hydrodynamic evolution of the quark-gluon plasma. Recent LHC Run 3 lead-lead (PbPb) data collected at a center-of-mass per nucleon pair of $\sqrt{s_{_{\mathrm{NN}}}} = 5.36$~TeV allow the study of these effects at a record collision energy. We present the first measurements of the midrapidity charged particle $\mathrm{d}N/\mathrm{d}\eta$ as a function of collision centrality, as well as the Fourier harmonics, $v_{2}$ and $v_{3}$, with two- and four-particle correlations in PbPb collisions recorded at $\sqrt{s_{_{\mathrm{NN}}}} = 5.36$~TeV with the CMS experiment. Taken together, these measurements constrain models of the collision-energy and centrality-dependence of charged particle production, and also shed light on the initial collision geometry and importance of event-by-event fluctuations. These data are compared to similar measurements at different energies, including PbPb collisions at $\sqrt{s_{_{\mathrm{NN}}}} = 5.02$ and xenon-xenon collisions at $\sqrt{s_{_{\mathrm{NN}}}} = 5.44$~TeV.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jing', 'last_name': 'Wang', 'fullName': 'Wang, Jing', 'id': '7974631', 'affiliation': 'CERN', 'emailHash': '84443556008b60ce45b46683f5c26d2b', 'db_id': 7974631, 'person_id': 7787712}"
Jets,parallel,Looking for the dead-cone in heavy-ion collisions with energy correlators (remote),"Moult, Ian James",Unknown,Unknown,"In this talk we use the recently introduced energy correlator framework for jet substructure in heavy-ion collisions to show how the radiation pattern of heavy quarks is modified by the presence of the QGP. We present an analytical calculation of the medium-modified 2-point energy correlator of a heavy quark jet determining how the dead-cone is populated by medium-induced radiation. We identify two regimes: the near-massless limit where the deadcone is not affected by the QGP, and the large-mass limit where the in-medium radiation begins to fill the deadcone. This study provides the first illustration of the ability of energy correlators to disentangle complicated competing jet dynamics.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ian James', 'last_name': 'Moult', 'fullName': 'Moult, Ian James', 'id': '7819163', 'affiliation': '', 'emailHash': '22f8a50c072dc2a0f43baed11a680c33', 'db_id': 7819163, 'person_id': 7558299}"
Jets,parallel,Revealing the medium-recoil effect with high-$p_\mathrm{T}$ Z boson tagged underlying event distribution in PbPb collisions at CMS (remote),"Chou, Pin-Chun",Massachusetts Inst. of Technology (US),USA,"Extensive studies of dijet momentum balance, inclusive jet shapes, and photon-tagged jet fragmentation functions have revealed a significant contribution of low transverse momentum ($p_\mathrm{T}$) particles to the energy momentum balance of dijet and photon-jets. Effects such as medium-induced radiation and medium response could contribute to the enhancement of low-$p_\mathrm{T}$ particles. In this presentation, we utilize the Z boson reconstructed within the dimuon channel, which does not interact with the quark-gluon plasma (QGP) throughout the decay chain before interacting with the detector. Moreover, Z bosons are high precision probes, and their reconstruction does not introduce bias into the underlying event distribution near them, unlike the isolation requirement of photons. This feature enables the selection of a single quark-enriched high-$p_\mathrm{T}$ parton and study the modification of the underlying events associated with this probe. We present the first measurement of the Z boson-tagged underlying event spectra over a large acceptance with respect to the Z boson, using lead-lead data recorded by the CMS detector at 5.02 TeV. This new result can provide an unambiguous signal of the medium-recoil effect, and it could be sensitive to the equation of state and the speed of sound of the QGP.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Pin-Chun', 'last_name': 'Chou', 'fullName': 'Chou, Pin-Chun', 'id': '7974465', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': '977c4bb20b7d72412e5ba0df4c0a8d81', 'db_id': 7974465, 'person_id': 7690216}"
